"translation","rank"
"beautiful",1
"thursday",2
"tuesday",3
"wednesday",4
"good",5
"address",6
"place",7
"little",8
"saturday",9
"white",10
"love",11
"request",12
"english",13
"great",14
"happy",15
"friday",16
"answer",17
"business",18
"city",19
"sunday",20
"teacher",21
"school",22
"brother",23
"monday",24
"language",25
"autumn",26
"summary",27
"job",28
"man",29
"available",30
"quantity",31
"street",32
"description",33
"time",34
"big",35
"dog",36
"work",37
"daughter",38
"fast",39
"company",40
"name",41
"chair",42
"house",43
"proposal",44
"well",45
"confirmation",46
"kitchen",47
"children",48
"order",49
"friend",50
"development",51
"table",52
"country",53
"home",54
"width",55
"first name",56
"holiday",57
"regards",58
"reply",59
"decision",60
"important",61
"girl",62
"life",63
"bad",64
"right",65
"aunt",66
"bed",67
"father",68
"offer",69
"sorry",70
"nothing",71
"summer",72
"target",73
"power",74
"colleague",75
"height",76
"price",77
"small",78
"christmas",79
"car",80
"search",81
"invoice",82
"shirt",83
"heart",84
"amount",85
"people",86
"sad",87
"day",88
"kind",89
"family",90
"responsible",91
"water",92
"translator",93
"son",94
"month",95
"tree",96
"inquiry",97
"expensive",98
"error",99
"high",100
